content_id,client_id,baseline_score,reason_code,action_label,impressions_90d,avg_position,content_age_days,is_declining_label
content_2db43735a69a,client_7f2253d7e2,36130,stale_and_slipping,1,36130,11.1,225,1
content_d8a36f6f9744,client_6208ef0f77,36025,stale_and_slipping,1,36025,34.7,287,1
content_05867bb87732,client_6208ef0f77,35981,stale_and_slipping,1,35981,21.1,223,0
content_667eb5ec4c55,client_6208ef0f77,35957,stale_and_slipping,1,35957,47.0,287,0
content_4b5846808b1c,client_6208ef0f77,35929,stale_and_slipping,1,35929,36.3,216,0
content_b80d73524f2d,client_3fdba35f04,35620,stale_and_slipping,1,35620,44.0,333,1
content_1791e782ccef,client_6208ef0f77,35478,stale_and_slipping,1,35478,22.2,223,0
content_479f8ec909fe,client_4e07408562,35429,stale_and_slipping,1,35429,29.8,445,0
content_8223440cd40c,client_6208ef0f77,35051,stale_and_slipping,1,35051,17.9,286,1
content_a6d9cfdbd0e7,client_7f2253d7e2,34991,stale_and_slipping,1,34991,10.1,224,1
content_a9d209bf918c,client_6208ef0f77,34983,stale_and_slipping,1,34983,34.3,229,1
content_21eb4523cfe6,client_6208ef0f77,34917,stale_and_slipping,1,34917,23.2,229,0
content_f99c7d95b7d0,client_7f2253d7e2,34883,stale_and_slipping,1,34883,29.8,224,1
content_3dbf0b8caf06,client_6208ef0f77,34837,stale_and_slipping,1,34837,45.6,229,1
content_46ece05546fb,client_4e07408562,34826,stale_and_slipping,1,34826,29.7,420,1
content_589937ecbfc1,client_6208ef0f77,34818,stale_and_slipping,1,34818,30.4,223,1
content_2cb8b923f6d8,client_4e07408562,34796,stale_and_slipping,1,34796,36.0,445,1
content_68af684c0b56,client_6208ef0f77,34710,stale_and_slipping,1,34710,33.1,229,0
content_85d1fb597319,client_4e07408562,34627,stale_and_slipping,1,34627,11.6,445,0
content_38466dc2d75e,client_6208ef0f77,34617,stale_and_slipping,1,34617,21.8,211,0
content_97ac6bbde882,client_6208ef0f77,34546,stale_and_slipping,1,34546,25.8,216,1
content_5985db5385bc,client_6208ef0f77,34359,stale_and_slipping,1,34359,24.4,287,1
content_b45cc3f5b6b6,client_4e07408562,34197,stale_and_slipping,1,34197,16.7,445,1
content_db581a0e8733,client_6208ef0f77,34174,stale_and_slipping,1,34174,11.2,287,0
content_ef96f9f41881,client_6208ef0f77,34145,stale_and_slipping,1,34145,27.8,236,0
content_6b8ac4a2ef5b,client_6208ef0f77,33773,stale_and_slipping,1,33773,16.6,236,1
content_52e12729301c,client_6208ef0f77,33692,stale_and_slipping,1,33692,25.3,300,0
content_933d274de691,client_6208ef0f77,33539,stale_and_slipping,1,33539,29.8,223,0
content_749fea292449,client_4e07408562,33486,stale_and_slipping,1,33486,10.1,445,0
content_a0961c8c08e5,client_7f2253d7e2,32789,stale_and_slipping,1,32789,10.9,224,1
content_7600c510155a,client_6208ef0f77,32767,stale_and_slipping,1,32767,21.1,299,1
content_fb66dd8f4629,client_6208ef0f77,32518,stale_and_slipping,1,32518,56.5,216,1
content_bc18d49d8f6b,client_6208ef0f77,32491,stale_and_slipping,1,32491,36.2,287,0
content_d68bd67315c8,client_6208ef0f77,32464,stale_and_slipping,1,32464,37.7,229,0
content_5d6ee64cba92,client_6208ef0f77,32320,stale_and_slipping,1,32320,20.6,312,0
content_a59418b025e0,client_6208ef0f77,32314,stale_and_slipping,1,32314,25.9,299,1
content_e7efd80cdfcb,client_6208ef0f77,32309,stale_and_slipping,1,32309,30.7,286,1
content_8b398358b583,client_6208ef0f77,32304,stale_and_slipping,1,32304,31.3,286,1
content_0f9b311a8e8b,client_19581e27de,32281,stale_and_slipping,1,32281,10.7,480,1
content_782d95b2d526,client_6208ef0f77,32145,stale_and_slipping,1,32145,20.4,211,0
content_a2290e983cef,client_6208ef0f77,31993,stale_and_slipping,1,31993,13.7,223,0
content_c3c21134dcc5,client_6208ef0f77,31974,stale_and_slipping,1,31974,31.0,223,1
content_1de45147a2be,client_6208ef0f77,31860,stale_and_slipping,1,31860,40.9,300,0
content_926e4ed15d2d,client_3fdba35f04,31836,stale_and_slipping,1,31836,23.0,333,0
content_cad8fee2a36c,client_6208ef0f77,31791,stale_and_slipping,1,31791,15.4,300,0
content_a0d9819c4569,client_4e07408562,31783,stale_and_slipping,1,31783,41.6,445,0
content_a9b751a2d0fc,client_6208ef0f77,31616,stale_and_slipping,1,31616,42.0,236,0
content_c50f7184f0fb,client_6208ef0f77,31442,stale_and_slipping,1,31442,20.1,236,0
content_62abc4bd66be,client_4e07408562,31364,stale_and_slipping,1,31364,68.5,445,0
content_b21385c39124,client_6208ef0f77,30962,stale_and_slipping,1,30962,30.7,286,1
content_5f7fade16765,client_7f2253d7e2,30781,stale_and_slipping,1,30781,11.6,225,1
content_935404160e73,client_6208ef0f77,30765,stale_and_slipping,1,30765,43.0,286,1
content_42ee5d11534f,client_6208ef0f77,30671,stale_and_slipping,1,30671,30.0,287,1
content_549578c4dcf4,client_6208ef0f77,30362,stale_and_slipping,1,30362,43.6,236,0
content_95701ef51a46,client_6208ef0f77,30328,stale_and_slipping,1,30328,38.7,211,1
content_eb806d4ef757,client_6208ef0f77,30304,stale_and_slipping,1,30304,25.6,223,0
content_9de121508040,client_6208ef0f77,30125,stale_and_slipping,1,30125,22.1,286,1
content_9f239fd94c27,client_6208ef0f77,30051,stale_and_slipping,1,30051,24.6,287,0
content_b3fccc13da09,client_6208ef0f77,29890,stale_and_slipping,1,29890,40.2,287,0
content_afd71ac0a398,client_6208ef0f77,29751,stale_and_slipping,1,29751,38.6,216,0
content_d636f1cf9880,client_6208ef0f77,29697,stale_and_slipping,1,29697,36.3,300,1
content_89e7611dd18c,client_6208ef0f77,29689,stale_and_slipping,1,29689,19.2,300,1
content_53773e2a6df5,client_6208ef0f77,29654,stale_and_slipping,1,29654,18.3,299,1
content_587596d045d3,client_4e07408562,29519,stale_and_slipping,1,29519,14.4,280,1
content_4b05c87e3f08,client_6208ef0f77,29516,stale_and_slipping,1,29516,20.0,300,0
content_028eece1ecc2,client_3fdba35f04,29475,stale_and_slipping,1,29475,28.0,333,1
content_e296ad157f69,client_6208ef0f77,29458,stale_and_slipping,1,29458,25.8,229,1
content_561db6634297,client_6208ef0f77,29383,stale_and_slipping,1,29383,29.1,300,0
content_4ce6bb1ed618,client_6208ef0f77,29352,stale_and_slipping,1,29352,24.3,236,0
content_9762f75ff577,client_6208ef0f77,29196,stale_and_slipping,1,29196,42.8,216,1
content_a8c85e78c7c1,client_6208ef0f77,29130,stale_and_slipping,1,29130,21.6,300,1
content_168b0085fc02,client_6208ef0f77,28862,stale_and_slipping,1,28862,30.4,236,1
content_c7d517e2b248,client_6208ef0f77,28604,stale_and_slipping,1,28604,42.8,211,1
content_9e910c76fe4c,client_4e07408562,28549,stale_and_slipping,1,28549,10.3,445,0
content_b78847c8e2a0,client_6208ef0f77,28406,stale_and_slipping,1,28406,24.4,300,1
content_670b6228e132,client_6208ef0f77,28393,stale_and_slipping,1,28393,17.8,287,1
content_ab297544311a,client_6208ef0f77,28349,stale_and_slipping,1,28349,37.0,211,0
content_319980ebeaf4,client_19581e27de,28345,stale_and_slipping,1,28345,12.0,482,0
content_204540dd7944,client_6208ef0f77,28330,stale_and_slipping,1,28330,28.4,286,1
content_6923971918f3,client_6208ef0f77,28266,stale_and_slipping,1,28266,47.5,299,1
content_25041033a0d9,client_6208ef0f77,28216,stale_and_slipping,1,28216,16.3,223,1
content_25c31d8401de,client_6208ef0f77,27992,stale_and_slipping,1,27992,36.0,229,0
content_7904355583ea,client_6208ef0f77,27915,stale_and_slipping,1,27915,21.9,236,1
content_465c71d7e871,client_6208ef0f77,27861,stale_and_slipping,1,27861,33.5,211,0
content_9ec8d1d51909,client_6208ef0f77,27853,stale_and_slipping,1,27853,20.4,287,1
content_9ba91a1c7fb5,client_3fdba35f04,27675,stale_and_slipping,1,27675,19.6,333,0
content_33a2ec3db00c,client_3fdba35f04,27574,stale_and_slipping,1,27574,12.6,333,1
content_d6a454462332,client_4e07408562,27467,stale_and_slipping,1,27467,12.2,545,0
content_dca3fa8f0893,client_6208ef0f77,27427,stale_and_slipping,1,27427,19.6,299,1
content_f742d659d8fa,client_6208ef0f77,27349,stale_and_slipping,1,27349,24.0,286,1
content_df71843dcd17,client_8527a891e2,27334,stale_and_slipping,1,27334,76.4,237,0
content_965cf612a9ef,client_6208ef0f77,27320,stale_and_slipping,1,27320,34.3,236,1
content_97bb507def8a,client_6208ef0f77,27308,stale_and_slipping,1,27308,10.1,216,1
content_a27e15f618c2,client_7f2253d7e2,27151,stale_and_slipping,1,27151,32.5,224,1
content_1fb6a9c3aea4,client_3fdba35f04,27100,stale_and_slipping,1,27100,33.5,284,1
content_f9f37772c928,client_6208ef0f77,27083,stale_and_slipping,1,27083,34.7,286,1
content_c2cca3b2a2ef,client_6208ef0f77,26932,stale_and_slipping,1,26932,37.0,299,1
content_a5ee2196b6f9,client_4e07408562,26905,stale_and_slipping,1,26905,19.7,280,1
content_672807cea271,client_6208ef0f77,26866,stale_and_slipping,1,26866,33.1,236,1
content_2b2c574d87fa,client_6208ef0f77,26814,stale_and_slipping,1,26814,28.1,236,1
content_995af2ea35c2,client_6208ef0f77,26760,stale_and_slipping,1,26760,21.7,287,0
content_d5ffde3c22b0,client_3fdba35f04,26662,stale_and_slipping,1,26662,10.4,263,0
content_7b84d6a08064,client_19581e27de,26593,stale_and_slipping,1,26593,10.5,329,1
content_acaea2855083,client_6208ef0f77,26489,stale_and_slipping,1,26489,27.4,299,1
content_dbe82879a406,client_6208ef0f77,26457,stale_and_slipping,1,26457,33.3,223,1
content_3e5673c16aa7,client_7f2253d7e2,26267,stale_and_slipping,1,26267,23.5,224,1
content_8b1eeb87a7c5,client_6208ef0f77,26142,stale_and_slipping,1,26142,35.0,312,1
content_c55f5b73d663,client_4e07408562,26127,stale_and_slipping,1,26127,21.4,280,0
content_bd7c0867e933,client_6208ef0f77,26121,stale_and_slipping,1,26121,38.2,299,1
content_2f06371514c2,client_7f2253d7e2,25999,stale_and_slipping,1,25999,16.2,225,1
content_b5d1fbc91005,client_6208ef0f77,25951,stale_and_slipping,1,25951,24.3,216,1
content_8bb79651a584,client_6208ef0f77,25909,stale_and_slipping,1,25909,22.6,287,1
content_4618f0735a79,client_6208ef0f77,25819,stale_and_slipping,1,25819,28.9,299,0
content_2023fff1c7f3,client_6208ef0f77,25787,stale_and_slipping,1,25787,28.7,236,1
content_dea28fbca35c,client_6208ef0f77,25764,stale_and_slipping,1,25764,19.9,287,1
content_75175d878762,client_6208ef0f77,25748,stale_and_slipping,1,25748,48.5,299,1
content_1bfaa38ff26c,client_7f2253d7e2,25715,stale_and_slipping,1,25715,22.2,231,1
content_ab7e67e9480c,client_4e07408562,25612,stale_and_slipping,1,25612,11.1,445,0
content_7cc2fac8e32f,client_6208ef0f77,25482,stale_and_slipping,1,25482,27.7,299,1
content_a177434981e0,client_6208ef0f77,25466,stale_and_slipping,1,25466,33.3,229,0
content_f21600d6c857,client_6208ef0f77,25436,stale_and_slipping,1,25436,29.1,223,0
content_6bf53891613e,client_6208ef0f77,25376,stale_and_slipping,1,25376,41.8,229,0
content_62e5bbe809b1,client_6208ef0f77,25325,stale_and_slipping,1,25325,38.0,229,0
content_559efb81d405,client_6208ef0f77,25162,stale_and_slipping,1,25162,15.3,236,1
content_c0c733679624,client_6208ef0f77,25097,stale_and_slipping,1,25097,31.6,229,0
content_64f14eaed432,client_7f2253d7e2,25018,stale_and_slipping,1,25018,37.3,230,1
content_59ee92135b5c,client_7f2253d7e2,24978,stale_and_slipping,1,24978,13.9,224,1
content_1ee723a08429,client_6208ef0f77,24963,stale_and_slipping,1,24963,19.3,211,0
content_34deeb3a92b9,client_6208ef0f77,24941,stale_and_slipping,1,24941,17.9,229,0
content_f51e9248f467,client_3fdba35f04,24800,stale_and_slipping,1,24800,20.4,284,1
content_ac7e8dd18108,client_6208ef0f77,24748,stale_and_slipping,1,24748,38.7,286,1
content_b6d138ee00c3,client_6208ef0f77,24665,stale_and_slipping,1,24665,31.7,299,0
content_816b8f112f8a,client_6208ef0f77,24427,stale_and_slipping,1,24427,11.6,236,1
content_07eb63474d33,client_6208ef0f77,24414,stale_and_slipping,1,24414,10.6,299,0
content_b5596d40f69d,client_6208ef0f77,24127,stale_and_slipping,1,24127,24.1,287,1
content_382a8677c328,client_6208ef0f77,24088,stale_and_slipping,1,24088,28.3,286,1
content_bd857e1ec4e4,client_6208ef0f77,23916,stale_and_slipping,1,23916,43.3,236,1
content_3ac7d1a69e35,client_6208ef0f77,23859,stale_and_slipping,1,23859,26.4,236,1
content_1ce04822bbb0,client_3fdba35f04,23800,stale_and_slipping,1,23800,12.4,333,1
content_b951e23ff4fc,client_6208ef0f77,23787,stale_and_slipping,1,23787,29.2,287,1
content_bb305b86c038,client_3fdba35f04,23724,stale_and_slipping,1,23724,16.2,284,1
content_88bde7b0c0c5,client_3fdba35f04,23523,stale_and_slipping,1,23523,24.5,310,1
content_095661034f9b,client_6208ef0f77,23513,stale_and_slipping,1,23513,39.4,287,1
content_2f99e0fa3453,client_4e07408562,23500,stale_and_slipping,1,23500,10.1,445,0
content_2149cbc42bc0,client_6208ef0f77,23394,stale_and_slipping,1,23394,41.8,223,1
content_ae54c1f1dac8,client_6208ef0f77,23384,stale_and_slipping,1,23384,32.8,287,1
